0,count
9488,5
0x0000000000001a34,5
0x00000000000020ac,5
0x00000000000007cc,5
0x00000000000017b8,5
8420,5
0x0000000000002b54,5
0x00000000000025d0,5
0x0000000000002328,5
2272,5
0x0000000000001294,5
0x0000000000000df8,5
9648,5
0x00000000000010b4,5
0x0000000000001bf4,5
0x00000000000014ac,5
0x0000000000000a50,5
0x0000000000000dd8,5
0x0000000000000e48,5
0x0000000000002468,5
0x00000000000026c0,5
0x00000000000018dc,5
0x000000000000295c,5
780,5
0x0000000000001d34,5
0x00000000000009ac,5
0x00000000000008d0,5
0x0000000000000310,5
0x0000000000001908,5
0x0000000000001a00,5
0x00000000000018f4,5
0x0000000000002aa8,5
0x00000000000013a4,5
0x0000000000002054,5
0x0000000000000118,5
4844,5
0x0000000000002ab4,5
7332,5
0x0000000000000508,5
0x0000000000002834,5
0x0000000000001d68,5
1976,5
0x00000000000029fc,5
6032,5
0x00000000000021a0,5
0x0000000000001dfc,5
0x0000000000001788,5
0x0000000000000e74,5
0x0000000000000770,5
0x0000000000001ff8,5
0x0000000000001460,5
9568,5
0x0000000000001704,5
0x0000000000002ad0,5
0x0000000000000c70,5
0x0000000000000b8c,5
4596,5
0x0000000000001320,5
1388,5
0x00000000000028f8,5
0x0000000000001580,5
0x00000000000013d0,5
0x00000000000010a4,5
0x0000000000000bdc,5
10636,5
0x00000000000004fc,5
0x0000000000002660,5
0x000000000000121c,5
0x0000000000000a94,5
0x00000000000027a4,5
0x00000000000002f4,5
0x0000000000002b18,5
0x0000000000002794,5
0x00000000000008c8,5
0x0000000000001d04,5
0x0000000000002b80,5
0x0000000000000a88,5
0x000000000000056c,5
0x0000000000001430,5
0x00000000000015a0,5
0x00000000000024dc,5
0x0000000000000af8,5
0x0000000000001194,5
0x0000000000000e38,5
0x000000000000084c,5
0x000000000000269c,5
0x0000000000000c90,5
0x000000000000131c,5
0x0000000000000850,5
0x0000000000002bcc,5
0x0000000000002a64,5
0x0000000000001274,5
6040,5
5708,5
0x0000000000001198,5
0x0000000000001a78,5
0x00000000000014fc,5
2132,5
0x0000000000001534,5
0x0000000000001548,5
0x0000000000002a70,5
0x0000000000001e78,5
0x0000000000000e60,5
0x0000000000001170,5
0x0000000000000614,5
0x0000000000000d94,5
5772,5
2736,5
0x0000000000001848,5
0x0000000000001940,5
10484,5
0x0000000000001414,5
0x0000000000001fd8,5
0x0000000000002978,5
0x000000000000260c,5
1844,5
0x0000000000001e6c,5
0x0000000000002058,5
4020,5
0x00000000000008e0,5
0x0000000000000c84,5
6940,5
0x0000000000001600,5
5800,5
0x0000000000001594,5
0x00000000000024a0,5
0x0000000000000fa0,5
0x0000000000002ad4,5
10732,5
3648,5
8808,5
0x0000000000001840,5
0x0000000000002ac4,5
0x0000000000001328,5
6376,5
0x00000000000016bc,5
